epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,49.9826,1.12422,0.60023,0.88473,0.93092,0.92747,0.95226,0.62258,1.16901,0.59074,0.89974,0.0013565,0.0013565,0.0013565
67,50.6718,1.1302,0.6157,0.87174,0.93993,0.92858,0.95605,0.63758,1.12416,0.56617,0.89033,0.0013466,0.0013466,0.0013466
68,51.377,1.10345,0.57389,0.88256,0.93393,0.92747,0.9522,0.61854,1.10236,0.59487,0.87801,0.0013367,0.0013367,0.0013367
69,52.3872,1.15541,0.6044,0.86443,0.95942,0.93543,0.94982,0.59932,1.13935,0.58688,0.88486,0.0013268,0.0013268,0.0013268
70,53.0938,1.10989,0.58379,0.86601,0.9537,0.92747,0.9485,0.63667,1.11154,0.56831,0.88455,0.0013169,0.0013169,0.0013169
71,53.7964,1.22835,0.62715,0.87138,0.94558,0.91656,0.94431,0.59548,1.19102,0.57521,0.89485,0.001307,0.001307,0.001307
72,54.5324,1.1286,0.62359,0.87121,0.95285,0.93276,0.95363,0.61109,1.18604,0.58067,0.89599,0.0012971,0.0012971,0.0012971
73,55.1935,1.18064,0.59352,0.87234,0.95277,0.93111,0.95595,0.63236,1.14113,0.57313,0.88628,0.0012872,0.0012872,0.0012872
74,55.9005,1.13229,0.57226,0.87657,0.97168,0.90769,0.94766,0.59269,1.23373,0.58056,0.90452,0.0012773,0.0012773,0.0012773
75,56.5841,1.19469,0.58,0.89408,0.96502,0.9095,0.95797,0.60969,1.20605,0.57444,0.90514,0.0012674,0.0012674,0.0012674
76,57.2948,1.14156,0.66578,0.90928,0.95913,0.92308,0.95838,0.65177,1.08315,0.54491,0.88313,0.0012575,0.0012575,0.0012575
77,57.9899,1.16227,0.57685,0.88611,0.95042,0.92684,0.95595,0.64435,1.11484,0.57319,0.88456,0.0012476,0.0012476,0.0012476
78,58.7019,1.14472,0.6266,0.86999,0.95052,0.9288,0.95983,0.63958,1.12091,0.56479,0.88295,0.0012377,0.0012377,0.0012377
79,59.4018,1.20421,0.61529,0.88475,0.95525,0.93821,0.96681,0.6512,1.11334,0.56347,0.89139,0.0012278,0.0012278,0.0012278
80,60.1093,1.16039,0.64508,0.88058,0.96152,0.93364,0.96239,0.65884,1.08835,0.55326,0.88207,0.0012179,0.0012179,0.0012179
81,60.816,1.11947,0.57583,0.86659,0.95897,0.93846,0.96388,0.65995,1.08349,0.55701,0.87836,0.001208,0.001208,0.001208
82,61.5474,1.08319,0.59544,0.86701,0.96164,0.93846,0.96791,0.65437,1.07851,0.55133,0.88025,0.0011981,0.0011981,0.0011981
83,62.2307,1.08092,0.55051,0.89552,0.95352,0.94286,0.96647,0.66585,1.05968,0.53659,0.87477,0.0011882,0.0011882,0.0011882
84,62.9641,1.12446,0.59435,0.86417,0.95492,0.94945,0.97263,0.65459,1.07817,0.55464,0.87784,0.0011783,0.0011783,0.0011783
85,63.6524,1.1062,0.55969,0.87373,0.95688,0.95604,0.97869,0.66748,1.05679,0.55968,0.8723,0.0011684,0.0011684,0.0011684
86,64.3757,1.13552,0.5782,0.87885,0.95615,0.95853,0.97948,0.66717,1.06119,0.55296,0.87372,0.0011585,0.0011585,0.0011585
87,65.0556,1.0953,0.56925,0.87477,0.95865,0.96816,0.98052,0.65219,1.08956,0.53572,0.88012,0.0011486,0.0011486,0.0011486
88,65.7563,1.17549,0.58128,0.89276,0.96188,0.94274,0.97606,0.66277,1.04443,0.51862,0.87294,0.0011387,0.0011387,0.0011387
89,66.7589,1.1295,0.56136,0.86241,0.96114,0.94066,0.97317,0.6507,1.08123,0.52797,0.88268,0.0011288,0.0011288,0.0011288
90,67.4752,1.08119,0.54343,0.86579,0.95501,0.95165,0.9752,0.65706,1.07796,0.514,0.88053,0.0011189,0.0011189,0.0011189
91,68.1505,1.13488,0.62168,0.86451,0.95813,0.94505,0.97435,0.66283,1.06535,0.51346,0.87471,0.001109,0.001109,0.001109
92,68.8808,1.14402,0.55021,0.86943,0.97028,0.93287,0.96603,0.65005,1.07982,0.57181,0.87869,0.0010991,0.0010991,0.0010991
93,69.548,1.18268,0.58036,0.87698,0.96659,0.93407,0.96608,0.66133,1.0646,0.56902,0.87604,0.0010892,0.0010892,0.0010892
94,70.2696,1.10028,0.57942,0.87193,0.96109,0.95165,0.96912,0.66788,1.04879,0.51431,0.87114,0.0010793,0.0010793,0.0010793
95,71.0008,1.14249,0.547,0.87291,0.95987,0.94632,0.96969,0.6725,1.03801,0.50109,0.87006,0.0010694,0.0010694,0.0010694
96,71.7423,1.0618,0.54282,0.87324,0.96037,0.94945,0.97761,0.66653,1.08721,0.51424,0.88482,0.0010595,0.0010595,0.0010595
97,72.4521,1.12798,0.54313,0.87801,0.95197,0.95824,0.97778,0.66824,1.066,0.51322,0.87964,0.0010496,0.0010496,0.0010496
98,73.1907,1.15461,0.66333,0.89249,0.96839,0.94278,0.96847,0.652,1.05149,0.51153,0.87283,0.0010397,0.0010397,0.0010397
99,73.9408,1.15301,0.56231,0.86722,0.95832,0.96012,0.96964,0.66105,1.02567,0.49382,0.86846,0.0010298,0.0010298,0.0010298
100,74.6636,1.14398,0.59684,0.86521,0.96027,0.95608,0.97605,0.65277,1.05681,0.49578,0.87801,0.0010199,0.0010199,0.0010199
101,75.3636,0.99151,0.52517,0.87182,0.96415,0.94577,0.95985,0.65701,1.05661,0.49485,0.87518,0.00101,0.00101,0.00101
102,76.0903,1.13402,0.59208,0.85714,0.95309,0.93779,0.9581,0.65633,1.07005,0.49868,0.87664,0.0010001,0.0010001,0.0010001
103,76.7786,1.08313,0.60028,0.86456,0.95605,0.95607,0.96909,0.67262,1.03031,0.48882,0.8693,0.0009902,0.0009902,0.0009902
104,77.5244,1.10319,0.55848,0.87467,0.96536,0.94725,0.96909,0.66915,1.02854,0.48439,0.86831,0.0009803,0.0009803,0.0009803
105,78.2238,1.05747,0.52011,0.86446,0.96725,0.94505,0.96814,0.65423,1.05009,0.49135,0.87076,0.0009704,0.0009704,0.0009704
106,78.9249,1.10569,0.5414,0.86093,0.9671,0.95165,0.97908,0.66012,1.03653,0.49155,0.8694,0.0009605,0.0009605,0.0009605
107,79.6667,1.04265,0.52386,0.86405,0.96571,0.95604,0.97867,0.66162,1.0262,0.48692,0.86674,0.0009506,0.0009506,0.0009506
108,80.4611,0.99182,0.49756,0.86871,0.95165,0.94945,0.97472,0.66833,1.02252,0.50076,0.86696,0.0009407,0.0009407,0.0009407
109,81.5304,1.04779,0.51478,0.85972,0.95745,0.94725,0.96736,0.67524,1.0066,0.49281,0.86622,0.0009308,0.0009308,0.0009308
110,82.3227,1.08177,0.54307,0.86771,0.96061,0.94286,0.96663,0.66884,1.04824,0.4978,0.87504,0.0009209,0.0009209,0.0009209
111,83.0829,0.99197,0.52304,0.84075,0.9646,0.94945,0.96837,0.666,1.0635,0.50013,0.87692,0.000911,0.000911,0.000911
